date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:01	5264/5264	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_iphone_16e__3qxl86zrk0yq_large.png	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_iphone_16e__3qxl86zrk0yq_large.png	(from https://www.apple.com/iphone/)
21:58:02	6114/6114	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_compare__fka067e4fgq6_large.png	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_compare__fka067e4fgq6_large.png	(from https://www.apple.com/iphone/)
21:58:03	573416/573416	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:58:03%20GMT	https://www.apple.com/iphone-16e/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/iphone-16e/index.html	(from https://www.apple.com/iphone/)
21:58:04	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/us/shop/goto/iphone/accessories	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/goto/iphone/accessories.2a.delayed	(from https://www.apple.com/iphone/)
21:58:04	1614447/1614447	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:58:04%20GMT	https://www.apple.com/iphone/compare/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/iphone/compare/index.html	(from https://www.apple.com/iphone/)
21:58:04	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/us/shop/go/iphone/accessories	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/go/iphone/accessories.2b.delayed	(from https://www.apple.com/iphone/)
21:58:06	487619/487619	---M-Z	200	added ('OK')	text/html	etag:%222127a5247f1e25772b8b59db2700599c%22	https://www.apple.com/shop/iphone/accessories	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/shop/iphone/accessories.html	(from https://www.apple.com/iphone/)
21:58:06	7185/7185	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_accessories__e5zgfl9e0vwy_large.png	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_accessories__e5zgfl9e0vwy_large.png	(from https://www.apple.com/iphone/)
21:58:07	5178/5178	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_shop_alt__dur38g1c4ii6_large.png	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_shop_alt__dur38g1c4ii6_large.png	(from https://www.apple.com/iphone/)
21:58:08	7371/7371	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_ios__efygxkc3oqs2_large.png	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/chapternav/nav_ios__efygxkc3oqs2_large.png	(from https://www.apple.com/iphone/)
21:58:09	27767/27767	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider/getting_started__f98z0j9hm7m2_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider/getting_started__f98z0j9hm7m2_large.jpg	(from https://www.apple.com/iphone/)
21:58:10	255818/255818	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202026%2018:58:11%20GMT	https://www.apple.com/os/ios/	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/os/ios/index.html	(from https://www.apple.com/iphone/)
21:58:10	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2002%20Feb%202026%2018:58:11%20GMT	https://support.apple.com/HT201196	/Users/Mukira/apple-lipagas/apple-clone/support.apple.com/HT201196.31.delayed	(from https://www.apple.com/iphone/)
21:58:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:a56T1AULltDRsNov28JD4Z110	https://support.apple.com/en-us/HT201196	/Users/Mukira/apple-lipagas/apple-clone/support.apple.com/en-us/HT201196	(from https://www.apple.com/iphone/)
